framerate,frame,time (s),x (pixel),y (pixel,freq (Hz),theta (deg),u1 (Hz),u2 (rad),field (mT),volt multipler,correction factor,target x,target y,k,h,gamma,kP,KI,KD,kPa,KIa,KDa,v_ref (um/s),v_m (um/s),a_ref,a_m,static (V)
0.000,3.000,Inf,330.534,258.650,0.000,270.000,0.001,2.991,7.785,18.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,2.991,2.991,5.000
0.000,4.000,Inf,330.687,258.541,0.000,270.000,0.001,0.000,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,5.000,Inf,330.843,258.330,0.000,270.000,0.001,0.000,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,6.000,Inf,330.567,258.284,0.000,270.000,0.001,0.000,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,7.000,Inf,331.077,258.209,0.000,270.000,0.001,0.000,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,8.000,Inf,331.231,257.985,0.000,270.000,0.001,0.000,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,9.000,Inf,331.352,257.887,0.000,270.000,0.001,0.211,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,149.597,0.211,0.211,5.000
0.000,10.000,Inf,331.641,257.837,0.000,270.000,0.001,0.211,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,149.597,0.211,0.211,5.000
0.000,12.000,Inf,332.133,258.183,0.000,270.000,0.001,0.211,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,149.597,0.211,0.211,5.000
0.000,13.000,Inf,332.255,258.052,0.000,270.000,0.001,0.211,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,149.597,0.211,0.211,5.000
0.000,14.000,Inf,332.402,258.164,0.000,270.000,0.001,0.211,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,149.597,0.211,0.211,5.000
0.000,15.000,Inf,332.389,258.158,0.000,270.000,0.001,0.012,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.403,0.012,0.012,5.000
0.000,16.000,Inf,332.600,258.195,0.000,270.000,0.001,0.012,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.403,0.012,0.012,5.000
0.000,17.000,Inf,333.066,258.071,0.000,270.000,0.001,0.012,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.403,0.012,0.012,5.000
0.000,18.000,Inf,333.253,257.818,0.000,270.000,0.001,0.012,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.403,0.012,0.012,5.000
0.000,19.000,Inf,333.376,257.786,0.000,270.000,0.001,0.012,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.403,0.012,0.012,5.000
0.000,20.000,Inf,333.358,257.574,0.000,270.000,0.001,0.012,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.403,0.012,0.012,5.000
0.000,21.000,Inf,333.604,257.445,0.000,0.000,0.001,0.013,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.061,0.013,0.013,5.000
0.000,22.000,Inf,333.892,257.442,0.000,0.000,0.001,0.013,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.061,0.013,0.013,5.000
0.000,23.000,Inf,333.650,257.367,0.000,0.000,0.001,0.013,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.061,0.013,0.013,5.000
0.000,24.000,Inf,333.806,256.871,0.000,0.000,0.001,0.013,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.061,0.013,0.013,5.000
0.000,25.000,Inf,334.023,257.268,0.000,0.000,0.001,0.013,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.061,0.013,0.013,5.000
0.000,26.000,Inf,334.174,256.974,0.000,0.000,0.001,0.013,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,11.061,0.013,0.013,5.000
0.000,27.000,Inf,334.674,256.423,0.000,0.000,0.001,0.011,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.964,0.011,0.011,5.000
0.000,28.000,Inf,335.112,256.562,0.000,0.000,0.001,0.011,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.964,0.011,0.011,5.000
0.000,29.000,Inf,334.844,256.580,0.000,0.000,0.001,0.011,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.964,0.011,0.011,5.000
0.000,30.000,Inf,335.146,256.351,0.000,0.000,0.001,0.011,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.964,0.011,0.011,5.000
0.000,31.000,Inf,335.422,256.426,0.000,0.000,0.001,0.011,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.964,0.011,0.011,5.000
0.000,32.000,Inf,335.547,256.309,0.000,0.000,0.001,0.011,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.964,0.011,0.011,5.000
0.000,33.000,Inf,335.783,256.361,0.000,0.000,0.001,0.022,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.668,0.022,0.022,5.000
30.010,34.000,1.133,336.060,256.303,0.000,0.000,0.001,0.022,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.668,0.022,0.022,5.000
30.010,35.000,1.166,336.187,256.444,0.000,0.000,0.001,0.022,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.668,0.022,0.022,5.000
30.010,36.000,1.200,336.366,256.330,0.000,0.000,0.001,0.022,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.668,0.022,0.022,5.000
30.010,37.000,1.233,336.247,256.585,0.000,0.000,0.001,0.022,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.668,0.022,0.022,5.000
30.010,38.000,1.266,336.360,256.368,0.000,0.000,0.001,0.022,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.668,0.022,0.022,5.000
30.010,39.000,1.300,336.617,256.391,0.000,0.000,0.001,0.005,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,8.065,0.005,0.005,5.000
30.010,40.000,1.333,337.026,256.384,0.000,0.000,0.001,0.005,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,8.065,0.005,0.005,5.000
30.010,41.000,1.366,337.353,256.374,0.000,0.000,0.001,0.005,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,8.065,0.005,0.005,5.000
30.010,42.000,1.400,337.517,256.041,0.000,0.000,0.001,0.005,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,8.065,0.005,0.005,5.000
30.010,43.000,1.433,337.788,256.023,0.000,0.000,0.001,0.005,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,8.065,0.005,0.005,5.000
30.010,44.000,1.466,337.701,255.742,0.000,0.000,0.001,0.005,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,8.065,0.005,0.005,5.000
30.010,45.000,1.500,338.081,255.632,0.000,0.000,0.001,0.020,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.749,0.020,0.020,5.000
30.010,46.000,1.533,338.207,255.627,0.000,0.000,0.001,0.020,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.749,0.020,0.020,5.000
30.010,47.000,1.566,338.180,255.669,0.000,0.000,0.001,0.020,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.749,0.020,0.020,5.000
30.010,48.000,1.599,338.192,255.771,0.000,0.000,0.001,0.020,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.749,0.020,0.020,5.000
30.010,49.000,1.633,338.294,255.677,0.000,0.000,0.001,0.020,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.749,0.020,0.020,5.000
30.010,50.000,1.666,338.326,255.529,0.000,0.000,0.001,0.020,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,15.749,0.020,0.020,5.000
30.010,51.000,1.699,338.505,255.482,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,5.884,0.008,0.008,5.000
30.010,52.000,1.733,338.718,255.644,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,5.884,0.008,0.008,5.000
30.010,53.000,1.766,338.565,255.507,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,5.884,0.008,0.008,5.000
30.010,54.000,1.799,338.612,255.620,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,5.884,0.008,0.008,5.000
30.010,55.000,1.833,339.092,255.791,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,5.884,0.008,0.008,5.000
30.010,56.000,1.866,339.106,255.748,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,5.884,0.008,0.008,5.000
30.010,57.000,1.899,339.149,255.794,0.000,0.000,0.001,0.006,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.740,0.006,0.006,5.000
30.010,58.000,1.933,339.291,255.779,0.000,0.000,0.001,0.006,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.740,0.006,0.006,5.000
